message_id,file_link,from_id,chat_id,date,file_name,mime_type,file_id,file_unique_id,file_size,Files
3076,,1789016259,1789016259,1724052746,1789016259(2).pdf,application/pdf,BQACAgUAAxkBAAIKeGbC9QkKlhjFVSOAQkmQlcOBM0eyAAKVEQACwgkZVmLz8udrfKO4NQQ,AgADlREAAsIJGVY,2100,/SEMESTER1 /Physics /2023
3078,,1789016259,1789016259,1724052746,1789016259(3).pdf,application/pdf,BQACAgUAAxkBAAIKeWbC9QlcWmpL3X9ZAT2XL_kVmvHoAAKWEQACwgkZVlhZggsdejXDNQQ,AgADlhEAAsIJGVY,2822,/SEMESTER1 /Physics /2023
3083,,1789016259,1789016259,1724052746,1789016259(1).pdf,application/pdf,BQACAgUAAxkBAAIKembC9QkZIE-3Y_odWxLpvt5HvY4DAAKXEQACwgkZVpL-Sg2iSMIyNQQ,AgADlxEAAsIJGVY,2421,/SEMESTER1 /Physics /2023
3084,,1789016259,1789016259,1724052746,1789016259(2).pdf,application/pdf,BQACAgUAAxkBAAIKe2bC9QnACt-XqSCZrvHMvGzkQD9yAAKYEQACwgkZVuHjbYKBBmUCNQQ,AgADmBEAAsIJGVY,2421,/SEMESTER1 /Physics /2023
3088,,1789016259,1789016259,1724052746,1789016259(3).pdf,application/pdf,BQACAgUAAxkBAAIKfGbC9QnSZ5yT9Z-25mYzb9BjnE1fAAKZEQACwgkZVv-qMHlHzybyNQQ,AgADmREAAsIJGVY,2220,/SEMESTER1 /Physics /2023
3092,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKbmbC9QnLsn3JFhHX0Mxv8QdlsjWlAALVEAACwgkJVo9KQt0DbqdrNQQ,AgAD1RAAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3094,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKb2bC9Qk4GJAVwFPhCbe_wqvOxGbWAAIrEQACwgkJVnET6dU9KQGrNQQ,AgADKxEAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3097,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKcGbC9QmQU3YrQ4bU9NELoKtZ8P2NAAI0EQACwgkJVsgz3pHZkGnkNQQ,AgADNBEAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3100,,1789016259,1789016259,1724052745,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIKcWbC9QmG3ZD37FXxX3vQ_5KjGoS-AAKdEQACT934VQ_yhEhBczwMNQQ,AgADnREAAk_d-FU,4644,/SEMESTER1 /Physics /2023
3103,,1789016259,1789016259,1724052745,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIKcmbC9Ql2nSLsFSfGEsj1Nd3Eo75fAAKdEQACT934VQ_yhEhBczwMNQQ,AgADnREAAk_d-FU,4644,/SEMESTER1 /Physics /2023
